iter	Passed	Remaining
431	1671	2042
432	1675	2039
433	1679	2035
434	1682	2031
435	1686	2027
436	1690	2023
437	1694	2019
438	1698	2015
439	1702	2011
440	1705	2007
441	1709	2003
442	1713	1999
443	1715	1993
444	1719	1990
445	1723	1986
446	1728	1983
447	1733	1981
448	1737	1977
449	1741	1973
450	1746	1971
451	1751	1968
452	1754	1964
453	1758	1959
454	1762	1956
455	1766	1952
456	1770	1948
457	1773	1943
458	1777	1940
459	1782	1937
460	1785	1933
461	1789	1929
462	1794	1925
463	1797	1921
464	1801	1917
465	1805	1914
466	1810	1911
467	1814	1907
468	1818	1903
469	1822	1900
470	1826	1896
471	1831	1893
472	1835	1889
473	1839	1886
474	1843	1881
475	1847	1878
476	1851	1874
477	1857	1872
478	1860	1868
479	1864	1864
480	1867	1860
481	1871	1856
482	1875	1852
483	1880	1849
484	1883	1845
485	1887	1840
486	1892	1837
487	1895	1833
488	1899	1829
489	1903	1825
490	1906	1821
491	1910	1817
492	1914	1813
493	1918	1809
494	1922	1806
495	1926	1802
496	1930	1798
497	1933	1793
498	1938	1790
499	1942	1786
500	1945	1782
501	1950	1779
502	1954	1775
503	1957	1771
504	1961	1767
505	1964	1763
506	1968	1758
507	1972	1755
508	1976	1751
509	1980	1747
510	1983	1743
511	1987	1738
512	1990	1734
513	1994	1730
514	1998	1726
515	2001	1722
516	2005	1718
517	2009	1714
518	2013	1711
519	2017	1707
520	2022	1704
521	2026	1700
522	2030	1696
523	2035	1693
524	2040	1690
525	2045	1687
526	2049	1683
527	2053	1679
528	2057	1676
529	2061	1672
530	2065	1668
531	2068	1664
532	2072	1660
533	2075	1656
534	2079	1651
535	2083	1647
536	2086	1643
537	2090	1639
538	2094	1635
539	2097	1631
540	2101	1627
541	2105	1624
542	2109	1620
543	2114	1616
544	2117	1612
545	2121	1608
546	2127	1605
547	2131	1602
548	2135	1598
549	2139	1594
550	2142	1590
551	2146	1586
552	2150	1582
553	2154	1578
554	2158	1574
555	2161	1570
556	2165	1566
557	2169	1562
558	2172	1558
559	2176	1554
560	2181	1551
561	2185	1547
562	2190	1544
563	2193	1540
564	2197	1536
565	2201	1532
566	2205	1528
567	2209	1525
568	2213	1521
569	2217	1517
570	2221	1513
571	2225	1509
572	2229	1505
573	2233	1501
574	2237	1497
575	2240	1493
576	2244	1489
577	2248	1485
578	2252	1482
579	2256	1478
580	2260	1474
581	2264	1470
582	2269	1467
583	2272	1463
584	2276	1459
585	2280	1455
586	2285	1452
587	2289	1448
588	2294	1445
589	2298	1441
590	2301	1437
591	2306	1433
592	2309	1429
593	2313	1425
594	2317	1421
595	2321	1417
596	2325	1413
597	2329	1409
598	2332	1405
599	2336	1401
600	2339	1397
601	2343	1393
602	2347	1389
603	2352	1386
604	2356	1382
605	2361	1379
606	2365	1375
607	2368	1371
608	2372	1367
609	2376	1363
610	2381	1360
611	2386	1356
612	2390	1353
613	2394	1349
614	2398	1345
615	2401	1341
616	2406	1337
617	2409	1333
618	2413	1329
619	2417	1325
620	2420	1321
621	2424	1317
622	2428	1313
623	2431	1309
624	2436	1305
625	2441	1302
626	2446	1299
627	2449	1295
628	2453	1291
629	2457	1287
630	2461	1283
631	2464	1279
632	2468	1275
633	2472	1271
634	2476	1267
635	2480	1263
636	2483	1259
637	2487	1255
638	2491	1251
639	2494	1247
640	2498	1243
641	2501	1239
642	2505	1235
643	2509	1231
644	2513	1227
645	2517	1223
646	2520	1219
647	2524	1215
648	2528	1211
649	2533	1208
650	2537	1204
651	2540	1200
652	2544	1196
653	2548	1192
654	2551	1188
655	2555	1184
656	2559	1180
657	2562	1176
658	2566	1172
659	2569	1168
660	2573	1164
661	2577	1160
662	2582	1156
663	2585	1152
664	2589	1148
665	2592	1144
666	2597	1140
667	2601	1136
668	2604	1133
669	2608	1129
670	2613	1125
671	2618	1122
672	2621	1117
673	2625	1113
674	2628	1109
675	2632	1106
676	2637	1102
677	2641	1098
678	2645	1094
679	2649	1091
680	2654	1087
681	2658	1083
682	2663	1080
683	2667	1076
684	2670	1072
685	2675	1068
686	2680	1065
687	2686	1062
688	2690	1058
689	2695	1054
690	2699	1051
691	2705	1047
692	2709	1043
693	2712	1039
694	2717	1036
695	2721	1032
696	2725	1028
697	2729	1024
698	2733	1020
699	2737	1016
700	2740	1012
701	2744	1008
702	2747	1004
703	2751	1000
704	2754	996
705	2758	992
706	2762	988
707	2765	984
708	2769	980
709	2772	976
710	2776	972
711	2780	968
712	2783	964
713	2787	960
714	2790	956
715	2794	952
716	2798	948
717	2802	944
718	2807	941
719	2811	937
720	2814	933
721	2818	929
722	2821	924
723	2825	920
